data,block,trial,oneTrigger,trigger
10_2011_11_29_11_08_,11,4,1,left
10_2011_11_29_11_08_,11,5,1,right
10_2011_11_29_11_08_,11,6,1,right
10_2011_11_29_11_08_,11,7,1,right
10_2011_11_29_11_08_,11,8,1,left
10_2011_11_29_11_08_,11,9,0,left/right
10_2011_11_29_11_08_,11,10,1,right
10_2011_11_29_11_08_,11,11,1,left
10_2011_11_29_11_08_,11,12,1,right
10_2011_11_29_11_08_,11,13,0,left/right
10_2011_11_29_11_08_,11,14,1,right
10_2011_11_29_11_08_,11,15,1,right
10_2011_11_29_11_08_,11,16,1,right
10_2011_11_29_11_08_,11,17,1,right
10_2011_11_29_11_08_,11,18,1,right
10_2011_11_29_11_08_,11,19,0,left/right
10_2011_11_29_11_08_,11,20,1,right
10_2011_11_29_11_08_,11,21,1,left
10_2011_11_29_11_08_,11,22,1,right
10_2011_11_29_11_08_,11,23,0,left/right
10_2011_11_29_11_08_,11,24,1,left
10_2011_11_29_11_08_,11,25,1,left
10_2011_11_29_11_08_,11,26,1,left
10_2011_11_29_11_08_,11,27,1,left
10_2011_11_29_11_08_,11,28,1,left
10_2011_11_29_11_08_,11,29,1,right
10_2011_11_29_11_08_,11,30,1,left
10_2011_11_29_11_08_,11,31,1,left
10_2011_11_29_11_08_,11,32,0,left/right
10_2011_11_29_11_08_,12,1,1,left
10_2011_11_29_11_08_,12,2,1,left
10_2011_11_29_11_08_,12,3,1,right
10_2011_11_29_11_08_,12,4,1,left
10_2011_11_29_11_08_,12,5,1,right
10_2011_11_29_11_08_,12,6,1,left
10_2011_11_29_11_08_,12,7,1,right
10_2011_11_29_11_08_,12,8,1,right
10_2011_11_29_11_08_,12,9,1,left
10_2011_11_29_11_08_,12,10,1,right
10_2011_11_29_11_08_,12,11,0,left/right
10_2011_11_29_11_08_,12,12,1,left
10_2011_11_29_11_08_,12,13,1,right
10_2011_11_29_11_08_,12,14,1,right
10_2011_11_29_11_08_,12,15,1,right
10_2011_11_29_11_08_,12,16,1,left
10_2011_11_29_11_08_,12,17,1,left
10_2011_11_29_11_08_,12,18,1,left
10_2011_11_29_11_08_,12,19,1,left
10_2011_11_29_11_08_,12,20,1,right
10_2011_11_29_11_08_,12,21,1,right
10_2011_11_29_11_08_,12,22,1,right
10_2011_11_29_11_08_,12,23,1,right
10_2011_11_29_11_08_,12,24,1,left
10_2011_11_29_11_08_,12,25,1,right
10_2011_11_29_11_08_,12,26,1,left
10_2011_11_29_11_08_,12,27,1,left
10_2011_11_29_11_08_,12,28,1,right
10_2011_11_29_11_08_,12,29,1,left
10_2011_11_29_11_08_,12,30,0,left/right
10_2011_11_29_11_08_,12,31,1,right
10_2011_11_29_11_08_,12,32,1,right
10_2011_11_29_11_08_,13,1,1,left
10_2011_11_29_11_08_,13,2,1,right
10_2011_11_29_11_08_,13,3,1,left
10_2011_11_29_11_08_,13,4,1,right
10_2011_11_29_11_08_,13,5,1,left
10_2011_11_29_11_08_,13,6,1,right
10_2011_11_29_11_08_,13,7,1,left
10_2011_11_29_11_08_,13,8,1,left
10_2011_11_29_11_08_,13,9,1,right
10_2011_11_29_11_08_,13,10,0,left/right
10_2011_11_29_11_08_,13,11,0,left/right
10_2011_11_29_11_08_,13,12,1,left
10_2011_11_29_11_08_,13,13,1,right
10_2011_11_29_11_08_,13,14,1,right
10_2011_11_29_11_08_,13,15,1,left
10_2011_11_29_11_08_,13,16,1,right
10_2011_11_29_11_08_,13,17,0,left/right
10_2011_11_29_11_08_,13,18,1,right
10_2011_11_29_11_08_,13,19,0,left/right
10_2011_11_29_11_08_,13,20,1,left
10_2011_11_29_11_08_,13,21,1,left
10_2011_11_29_11_08_,13,22,1,left
10_2011_11_29_11_08_,13,23,1,left
10_2011_11_29_11_08_,13,24,1,right
10_2011_11_29_11_08_,13,25,1,right
10_2011_11_29_11_08_,13,26,1,right
10_2011_11_29_11_08_,13,27,1,left
10_2011_11_29_11_08_,13,28,1,left
10_2011_11_29_11_08_,13,29,1,right
10_2011_11_29_11_08_,13,30,1,right
10_2011_11_29_11_08_,13,31,1,right
10_2011_11_29_11_08_,13,32,1,left
10_2011_11_29_11_08_,14,1,1,left
10_2011_11_29_11_08_,14,2,1,right
10_2011_11_29_11_08_,14,3,1,right
10_2011_11_29_11_08_,14,4,1,left
10_2011_11_29_11_08_,14,5,1,right
10_2011_11_29_11_08_,14,6,1,right
10_2011_11_29_11_08_,14,7,1,right
10_2011_11_29_11_08_,14,8,1,right
10_2011_11_29_11_08_,14,9,1,right
10_2011_11_29_11_08_,14,10,0,left/right
10_2011_11_29_11_08_,14,11,1,right
10_2011_11_29_11_08_,14,12,1,right
10_2011_11_29_11_08_,14,13,1,right
10_2011_11_29_11_08_,14,14,1,right
10_2011_11_29_11_08_,14,15,1,left
10_2011_11_29_11_08_,14,16,1,right
10_2011_11_29_11_08_,14,17,1,left
10_2011_11_29_11_08_,14,18,1,right
10_2011_11_29_11_08_,14,19,1,left
10_2011_11_29_11_08_,14,20,1,right
10_2011_11_29_11_08_,14,21,1,right
10_2011_11_29_11_08_,14,22,1,left
10_2011_11_29_11_08_,14,23,0,left/right
10_2011_11_29_11_08_,14,24,1,right
10_2011_11_29_11_08_,14,25,1,left
10_2011_11_29_11_08_,14,26,1,left
10_2011_11_29_11_08_,14,27,1,left
10_2011_11_29_11_08_,14,28,1,left
10_2011_11_29_11_08_,14,29,1,right
10_2011_11_29_11_08_,14,30,1,right
10_2011_11_29_11_08_,14,31,1,left
10_2011_11_29_11_08_,14,32,1,left
10_2011_11_29_11_08_,15,1,1,right
10_2011_11_29_11_08_,15,2,1,left
10_2011_11_29_11_08_,15,3,1,right
10_2011_11_29_11_08_,15,4,1,right
10_2011_11_29_11_08_,15,5,1,right
10_2011_11_29_11_08_,15,6,1,left
10_2011_11_29_11_08_,15,7,1,right
10_2011_11_29_11_08_,15,8,1,left
10_2011_11_29_11_08_,15,9,1,left
10_2011_11_29_11_08_,15,10,1,left
10_2011_11_29_11_08_,15,11,1,right
10_2011_11_29_11_08_,15,12,1,right
10_2011_11_29_11_08_,15,13,1,right
10_2011_11_29_11_08_,15,14,1,right
10_2011_11_29_11_08_,15,15,1,left
10_2011_11_29_11_08_,15,16,1,left
10_2011_11_29_11_08_,15,17,1,left
10_2011_11_29_11_08_,15,18,0,left/right
10_2011_11_29_11_08_,15,19,0,left/right
10_2011_11_29_11_08_,15,20,1,left
10_2011_11_29_11_08_,15,21,1,right
10_2011_11_29_11_08_,15,22,1,right
10_2011_11_29_11_08_,15,23,1,left
10_2011_11_29_11_08_,15,24,1,left
